path	phase	portability	need	what	adapts	status	successor_or_product
tools/bfm_extract/extract_proto_exe.py	PROJECT-ONLY	PROJECT-ONLY	extract a prototype build's executable, allowing for its known deviations	Companion for one title's prototype discs and their specific deviations	project-only	LIVE	
tools/bfm_extract/iso9660.py	P1	PORTABLE	walk a raw data track's filesystem and extract files by name	Reusable reader for a raw 2352-byte-sector data track; walks the filesystem and extracts files by name	none	LIVE	
tools/bfm_extract/lzss.py	PROJECT-ONLY	PROJECT-ONLY	decode a bespoke compression format, cross-checked against its own length field	Decoder for one game's non-generic compression semantics, verified against its own decompressor	project-only	LIVE	
tools/bfm_extract/manifest.py	P1	ADAPT	build and verify a deterministic sorted checksum manifest of an extraction tree	Builds and verifies a deterministic sorted SHA1 manifest of an extraction tree	the extraction output root	LIVE	
tools/bfm_extract/pac.py	PROJECT-ONLY	PROJECT-ONLY	parse a bespoke archive-chain header format	Parser for one game's bespoke archive-chain header format	project-only	LIVE	
tools/bfm_extract/test_lzss.py	PROJECT-ONLY	PROJECT-ONLY	unit-test a bespoke compression decoder against known cases	Unit tests for that game-specific compression variant	project-only	LIVE	
tools/bisect_slate.py	P8	ADAPT	isolate the byte-wrong drafts in a batch, with a null control first	Isolates the byte-wrong drafts in a batch, with a null control first	repo build paths	SUPERSEDED	tools/gate_main_parallel.py
tools/blast_radius.py	P8	ADAPT	measure a change's write set and name the verification it actually requires	Measures a change's write set and names the verification it actually requires	repo tree layout	LIVE	
tools/blocker_probe.py	P5	ADAPT	explain with two oracles why a byte-correct draft fails the whole-binary gate	Read-only two-oracle explanation of why a byte-correct draft fails the whole-binary gate	repo build paths	FROZEN	tools/share_body.py
tools/bootstrap.sh	P9	ADAPT	set up a fresh clone idempotently: packages, environments, pinned tools	Idempotent fresh-clone setup: check packages, create environments, fetch pinned tools	repo layout, package names	LIVE	
tools/build_engine_types.py	P10	ADAPT	extract inline-defined types and typedefs from a source file into a shared header	Extracts inline-defined named types and typedefs from a source file into a shared header	repo shared-header path	LIVE	
tools/build_fuel_manifest.py	P8	ADAPT	unify live stubs into one ranked, class-tagged, cache-annotated target pool	Unifies live stubs into one ranked, class-tagged, cache-annotated target pool	canonical source binary, repo scratch paths	LIVE	
tools/build_wave.py	P8	ADAPT	build the next drafting wave from a card pool by fleet leverage	Builds the next wave from a card pool, ranked by fleet leverage	repo scratch paths	SUPERSEDED	tools/draw_waves.py
tools/build_wave_args.py	P8	ADAPT	emit drafting-workflow arguments for a wave from a target manifest	Emits workflow arguments for a wave from the target manifest, resolving each path	repo asm/scratch layout	SUPERSEDED	tools/wave_args.py
tools/build_wave_atlas.py	P8	ADAPT	build a wave from the frontier atlas, optimized for gate throughput	Builds a wave from the frontier atlas, optimized for gate throughput	repo scratch paths	LIVE	
tools/bulk_harvest.py	P8	ADAPT	mass-draft small stubs with a served model and gate them in parallel	Phase-separated bulk drafting plus a parallel gate farm, for throughput	repo scratch paths, GPU endpoint	STILL-NEEDED	mass-draft small stubs with a served model and byte-gate them in parallel
tools/burndown.py	P5	ADAPT	track per-session yield and velocity so a diminishing-returns close is visible	Tracks per-session yield and velocity so a diminishing-returns close is visible	repo ledger paths	STILL-NEEDED	see when per-session yield floors out so a diminishing-returns close is defensible
tools/campaign_status.py	P8	ADAPT	report every concurrent lane with its own metrics, not only the loud one	One status view covering every lane, not only the loud one	lane names, repo scratch paths	STILL-NEEDED	report every concurrent lane with its own metrics, not only the loud one
tools/canon_draft_decls.py	P6	ADAPT	canonicalize a draft's extern and data declarations to the banked-consistent set	Canonicalizes a draft's extern and data declarations to the banked-consistent set	repo shared-header paths	SUPERSEDED	tools/sig_unify.py
tools/canon_resident_calls.py	P6	ADAPT	rewrite address-named calls in a draft to their curated symbol names	Rewrites address-named calls in a draft to the curated symbol name when one exists	repo symbol file path	LIVE	
tools/canon_sig_reconcile.py	P6	ADAPT	reconcile a definition's typed signature with what its destination unit declares — part of banking against a canonical type layer from Phase 6; again at readability (Phase 10)	Reconciles a definition's typed signature with what its destination unit already declares	repo src layout	FROZEN	the types phase (Phase 37)
tools/cast_call_sites.py	P10	ADAPT	add per-site function-pointer casts so a draft can call a differently typed callee	Adds per-site function-pointer casts so a draft can call a differently typed callee	repo src layout	LIVE	
tools/cast_self_callers.py	P6	ADAPT	let a unit keep calling, through per-site casts, the function it now defines	Lets a unit keep calling, through a per-site cast, the function it is about to define	repo src layout	LIVE	
tools/cc1_dumps.sh	P4	ADAPT	dump every compiler pass file for a self-contained draft	Dumps every compiler pass file for a self-contained draft into a private directory	compiler triple, repo scratch paths	LIVE	
tools/cc1_dumps_tu.sh	P4	ADAPT	dump every compiler pass file for the spliced real translation unit	Same pass dumps for the spliced real translation unit, the faithful compile	absolute repo path, compiler triple	LIVE	
tools/cdecl.py	P6	PORTABLE	parse C declarators once, for every declaration tool to share	The single recursive-descent C declarator parser every declaration tool shares	C89 grammar only	LIVE	
tools/cdtrace.py	PROJECT-ONLY	PROJECT-ONLY	observe a live loader's requests to learn which payload loads where	Reads one game's loader request structures at fixed RAM addresses	project-only	STILL-NEEDED	observe a live loader's requests to learn which payload is read to which address
tools/claude_wave_packs.py	P8	ADAPT	build the per-function prompt packs a drafting agent wave works from	Builds the per-function prompt packs an agent wave drafts from	repo scratch paths, agent harness	LIVE	
tools/compile_only.py	P9	ADAPT	compile every eligible translation unit with the pinned toolchain, using no derived bytes	Compiles every eligible translation unit with the pinned toolchain, without any game bytes	compiler triple, repo makefile parsing	LIVE	
tools/conform_decls.py	P6	ADAPT	conform every declaration of a function fleet-wide to its byte-true definition — width and signedness proven by the bytes at bank time (Phase 6)	Conforms every declaration of a function fleet-wide to its byte-true definition	repo src/shared-header layout	FROZEN	the types phase (Phase 37)
tools/cookbook_index.py	P9	ADAPT	generate a symptom-keyed index of a large technique document	Generates a symptom-keyed index of the large technique document	repo doc paths	LIVE	
tools/corpus.py	P5	ADAPT	answer from one derived model whether each function is open, matched or shared	The single derived model of the source tree: open, matched or shared, per function	repo src/config layout	LIVE	
tools/decl_from_use.py	P6	ADAPT	infer a minimal extern for a data symbol the destination unit does not declare	Infers a minimal extern for a data symbol a draft uses but its destination does not declare	repo src layout	LIVE	
tools/decl_prior.py	P6	ADAPT	compute the fleet's consensus declaration for every symbol, as card fuel — the seed of a canonical type layer (Phase 6)	Computes the fleet's consensus declaration for every symbol, as card fuel	repo src layout	LIVE	
tools/decompile.py	P4	ADAPT	turn one function's disassembly into a C scaffold to start a match	Wrapper locating a function's disassembly and running the C-scaffold generator on it	repo asm paths, decompiler target name	STILL-NEEDED	turn one function's disassembly into a C scaffold to start a match
tools/decompme_replica.sh	P4	ADAPT	reproduce an external reference toolchain locally and compare its words to target	Runs a function through an external reference toolchain build and compares words against the target	pinned toolchain versions, network fetch	STILL-NEEDED	kept: a public preset request needs the replica of the community toolchain to prove equivalence
tools/dedup_extend.py	P6	ADAPT	extend an existing code-share registry to newly onboarded binaries	Extends the existing share registry to newly onboarded binaries	repo config/src layout	SUPERSEDED	tools/share_body.py
tools/dedup_integrate.py	P6	ADAPT	validate a code-share registry byte-honestly, failing closed on signature drift	Byte-honesty validator for the code-share registry; fails closed on signature drift	repo config registry path	LIVE	
tools/dedup_propagate.py	P6	ADAPT	lift one matched body into a shared macro and instantiate it everywhere	Lifts one matched body into a shared macro and instantiates it at every duplicate site	repo shared-header/src layout	SUPERSEDED	tools/share_body.py
tools/delever.py	P10	ADAPT	take register pins, asm statements, volatile and register levers out of matched C, byte-gated per site	The Phase-36 de-lever engine and campaign tool: positional rewrites per lever class (pin -> plain declaration, barrier/keep-alive deleted, a launder deleted or turned into the assignment it is, a hand-placed instruction -> its C, the zero-register variable -> 0, a macro-carried site deleted/valued/refused by its macro's shape, volatile/register dropped); per body replay -> rung A strip-all -> rung B greedy through delever_oracle; the file is the write unit and its final compile through every recipe the proof; --plan/--apply batches (TUs parallel, exemplar files first; headers serial, includers parallel), the ledger keyed by tu+fn+addr with the body's nhash before/after, !FAKE markers on class A/B survivors, --redraw for bodies refused by an older tool, --restore from inflight.json, --scrub for orphan markers, --apply-body for T6/T7, --selftest with a stub oracle, --probe (T2)	the census site records, the oracle	LIVE	
tools/delever_oracle.py	P10	ADAPT	judge one translation-unit edit by the bytes of its object in under a second	The Phase-36 fast byte oracle: every object's exact build command captured once via make -n -W (the Makefile's own recipe, pad stage and -O0 overrides included), a candidate compiled in place with -o/-MF redirected to scratch and compared with the fleet run's object; --calibrate proves 100 % equality untouched, twin == primary and a positive control before any verdict is trusted	the Makefile's object rules, the twin rule	LIVE	
tools/demacroize.py	P6	ADAPT	escape a shared-header declaration conflict locally by unmacroizing one body	Per-binary local escape from a shared-header declaration conflict by unmacroizing one body	repo shared-header layout	FROZEN	tools/share_body.py
tools/diff_autopsy.sh	P7	ADAPT	find which words diverge when the whole-binary gate says different but not where	Reproduces exactly what the gate saw, then decodes the diverging words and restores the tree	repo src/build paths	STILL-NEEDED	find WHICH words diverge when the whole-binary gate says DIFF but not where
tools/diff_regions.py	P7	ADAPT	classify where a remapped sibling's compiled bytes diverge from its target	Classifies where a remapped member's compiled bytes diverge from its target	repo build paths	STILL-NEEDED	classify where a mechanically remapped sibling's compiled bytes diverge from its target
tools/difficulty.py	P5	ADAPT	rank unmatched functions easiest-first by size, control flow and call count	Ranks unmatched functions easiest-first by size, control flow, table presence and call count	repo asm layout	LIVE	
tools/disc_audit.py	PROJECT-ONLY	PROJECT-ONLY	account for every byte of the medium, leaving zero unexplained residue	Byte partition over one disc, importing the game-specific container and compression modules — the partition itself (every byte of the medium accounted for, residue zero) is a Phase-1 task	project-only	LIVE	
tools/distill_scan.py	P8	ADAPT	decide which harvested waves still need mining into the technique document	One pass of the distillation lane deciding which harvested waves still need mining	repo scratch paths	LIVE	
tools/doc_links.py	P9	ADAPT	check that every relative link in the public docs resolves	Checks that every relative link in the public docs resolves and the link policy holds	repo doc paths	LIVE	
tools/draft_prechecks.py	P4	ADAPT	skip a draft doomed to fail before any compile is spent	Static pre-checks that skip a draft doomed to fail before any compile is spent	repo symbol/config sources	LIVE	
tools/draw_waves.py	P8	ADAPT	draw several drafting waves off the open frontier, cheapest-first	Draws several drafting waves off the open frontier, cheapest-first	repo scratch paths	LIVE	
tools/dup_report.py	P5	ADAPT	report byte-identical and structurally identical function groups within and across binaries	Reports byte-identical and structurally identical function groups within and across binaries	repo signature files	LIVE	
tools/eval_lora.py	P8	ADAPT	evaluate a fine-tuned matching model gate-truthfully on held-out banked functions	Gate-true evaluation of a fine-tuned model on held-out banked functions	dataset paths, repo corpus	STILL-NEEDED	evaluate a fine-tuned matching model gate-truthfully on held-out banked functions
tools/exclude_audit.py	P6	ADAPT	classify every exclude-list entry by its current blocker and regenerate the list	Classifies every exclude-list entry by its current blocker and regenerates the list	repo config path	LIVE	
tools/exemplar_miner.py	P6	ADAPT	route every residual stub to its lever and rank the highest-reach work	Routes every residual stub to its lever and ranks the highest-reach work	census file paths, canonical source binary	SUPERSEDED	tools/atlas.py
tools/export_pairs.py	P8	ADAPT	mine gate-verified assembly-to-source pairs into a fine-tuning corpus	Mines gate-verified assembly-to-source pairs into a fine-tuning corpus	repo src/build layout	STILL-NEEDED	mine gate-verified assembly-to-source pairs into a fine-tuning corpus
tools/family_align.py	P6	ADAPT	classify drifted structural siblings by aligned words and expand their constants	Length-tolerant aligned classifier plus the mechanical constant-expansion engine for drifted members	repo scratch paths	LIVE	
tools/family_cousins.py	P6	ADAPT	cluster the open frontier one tier looser than exact skeleton hashing	Similarity clustering one tier looser than exact skeleton hashing over the open frontier	repo signature files	LIVE	
tools/family_hseq.py	P6	ADAPT	rank clusters of the unmatched frontier by mnemonic-skeleton hash	Ranked clustering of the unmatched frontier by mnemonic-skeleton hash	repo signature files	LIVE	
tools/family_manifest.py	P6	ADAPT	name the one exemplar to draft per structural family, ranked	Ranked structural-family target manifest naming the one exemplar to draft per family	repo signature files	LIVE	
tools/family_remap.py	P6	ADAPT	remap a matched exemplar's source onto a structural sibling by positional symbol pairing	Mechanically remaps a matched exemplar's C onto a structural sibling by positional symbol pairing	repo src layout	FROZEN	tools/share_body.py
tools/family_sweep.py	P6	ADAPT	sweep a matched exemplar across every same-structure sibling, gate-arbitrated	Sweeps a matched exemplar across every same-structure sibling, gate-arbitrated	repo src/config layout	FROZEN	tools/share_body.py
tools/fetch_psyq.sh	P9	ADAPT	acquire and checksum-verify vendor SDK pieces for a linked build	Optional acquisition and checksum verification of vendor SDK pieces for the linked build	PS1 SDK sources, repo paths	LIVE	
tools/find_addr_refs.py	P2	PORTABLE	find code that materializes an absolute address, tracking registers rather than pairing windows	Register-tracked scan for code that materializes an absolute address; never window-paired	MIPS encodings, repo binary registry	LIVE	
tools/fix_arity_callers.py	P6	ADAPT	repair a shared caller's argument-count conflict for the no-prototype failure class	Repairs the shared-caller argument-count conflict for the no-prototype failure class	repo shared-header layout	LIVE	
tools/fix_decl_mirror.py	P6	ADAPT	bind a void definition to a symbol the destination declares as returning a value	Binds a void definition to its symbol when the destination declares a value return	repo src layout	LIVE	
tools/fix_header_decl.py	P6	ADAPT	rewrite a shared-header caller declaration to a draft's byte-true signature	Rewrites a shared-header caller declaration to a draft's byte-true signature	repo shared-header path	SUPERSEDED	tools/conform_decls.py
tools/fix_tu_ret_decls.py	P6	ADAPT	retype a unit's stale forward declarations to a draft's byte-true return, reverting on failure	Retypes a binary's own stale forward declarations to a draft's byte-true return, revert-on-fail	repo src layout	LIVE	
tools/format_finetune.py	P8	ADAPT	turn mined pairs into a chat-template instruction dataset	Turns the mined pairs into a chat-template instruction dataset	dataset paths, model chat template	LIVE	
tools/fragment_check.py	P8	ADAPT	refuse a draft that swallows a neighbouring symbol inside one function's range	Refuses drafts that subsume a neighbouring symbol, the enclosing-function trap	repo asm layout	STILL-NEEDED	refuse a draft that swallows a neighbouring symbol inside one function's range
tools/frogress_upload.py	P9	ADAPT	publish progress metrics to a hosted progress service	Posts the progress JSON to a hosted progress service, dry-run by default	service URL, project/version names	STILL-NEEDED	publish progress metrics to a hosted decomp progress service
tools/frontier_classify.py	P5	ADAPT	name the true blocker of every remaining open function, deterministically	Classifies every remaining open function by its true blocker, deterministically	repo paths	STILL-NEEDED	name the true blocker of every remaining open function, deterministically
tools/frozen.py	P10	PORTABLE	refuse, from one place, the command line of a tool the project has frozen	The one refusal a FROZEN tool prints from its main(): the tool, the successor and why; imports never exit (libraries stay usable)	nothing	LIVE	
tools/gap_triage.py	P8	ADAPT	pre-filter agents' knowledge-gap reports against the existing technique document	Pre-filters a wave's knowledge-gap reports against the existing documentation	repo doc paths	STILL-NEEDED	pre-filter agents' knowledge-gap reports against the existing technique document
tools/gate_lane.py	P8	ADAPT	drive a wave's gate accepting either result shape and an explicit draft path	The wave gate driver, accepting either result shape and an explicit draft path	repo scratch paths	LIVE	
tools/gate_main.py	P8	ADAPT	gate the executable's drafts the only trustworthy way: a clean rebuild with bisect	Gates a batch of executable drafts the only trustworthy way: a clean rebuild with bisect	repo build/make targets	LIVE	
tools/gate_main_parallel.py	P8	ADAPT	discover an executable slate's bankable drafts concurrently, then bank once serially	Discovers the executable's bankable drafts concurrently, then banks them once, serially	repo build/make targets	STILL-NEEDED	discover an executable slate's bankable drafts concurrently, then bank once serially
tools/gate_stage.py	P8	ADAPT	run the one shared recovery, byte-gate and log ladder every producer calls	The shared deterministic recovery, gate and log ladder every producer calls	repo src/config layout	LIVE	
tools/gate_triage.py	P8	ADAPT	route a gate result set to the repair tool its own verdict names	Routes a gate result set to the repair tool its own verdict names	repo scratch paths	LIVE	
tools/gate_wave.py	P8	ADAPT	gate a whole wave by splitting table-bearing drafts off and running lanes concurrently	Gates a whole wave by splitting table-bearing drafts off and running both lanes concurrently	repo scratch/config layout	LIVE	
tools/gater_lane.py	P8	ADAPT	drain finished drafts into the gate continuously while drafting still streams	Continuous gater draining a wave's finished drafts into the parallel gate, grouped by binary	repo scratch paths	STILL-NEEDED	drain finished drafts into the gate continuously while drafting still streams
tools/gccmap_cites.py	P7	ADAPT	tag every compiler-source citation with the source tree it refers to	Tags every compiler-source citation in the codegen-map docs with the tree it refers to	repo doc/reference paths	LIVE	
tools/gen_engine_decls.py	P6	ADAPT	declare every shared function and data symbol once, canonically, in a generated header	Declares every shared function and data symbol once, canonically, in a generated header	repo shared-header path	SUPERSEDED	tools/conform_decls.py
tools/gen_harvest_targets.py	P8	ADAPT	generate a callee-signature-aware target manifest with per-function fleet reach	Generates a callee-signature-aware target manifest with per-function fleet reach	canonical source binary, repo paths	FROZEN	tools/share_census.py
tools/gen_lib_subsegs.py	P3	ADAPT	generate segment lines and a stub list for a multi-block vendor library region	Generates segment lines and a stub list for a multi-block vendor library region	repo config layout, PS1 SDK libs	LIVE	
tools/ghidra_annotations_delta.py	P2	ADAPT	derive the hand-authored annotations by subtracting a fresh analysis baseline	Derives the hand-authored annotation rows by subtracting a fresh rebuild baseline	repo paths	LIVE	
tools/ghidra_apply_symbols.sh	P10	ADAPT	mirror the curated symbol file into the analysis database with a real save	Mirrors the curated symbol file into the analysis program headlessly, with a real save	repo symbol path, project name	STILL-NEEDED	mirror the curated symbol file into the analysis database headlessly with a real save
tools/ghidra_export_annotations.sh	P2	ADAPT	export a program's annotations to byte-stable line-delimited records, read-only	Read-only export of a program's annotations to byte-stable line-delimited JSON	repo paths	LIVE	
tools/ghidra_import.sh	P2	ADAPT	import and auto-analyze a console executable headlessly with the platform loader	Headless import and auto-analysis of a console executable with the platform loader	PS1 executable loader, project name	LIVE	
tools/ghidra_import_raw.sh	P2	ADAPT	import a flat headerless blob at a given base with the right processor spec	Headless import of a flat headerless blob at a given base with the right processor spec	PS1 processor spec, project name	LIVE	
tools/ghidra_mcp_start.sh	P2	ADAPT	start the disassembler's automation server detached on a fixed local port	Starts the headless disassembler MCP server detached on a fixed local port	repo paths, project name, port	LIVE	
tools/ghidra_mcp_stop.sh	P2	ADAPT	close the analysis program cleanly so its edits actually persist	Clean save-and-close via a sentinel file; the only persistence event	repo paths, project name	LIVE	
tools/ghidra_mcp_verify.sh	P2	ADAPT	re-open read-only to confirm a symbol edit survived the save	Read-only re-open confirming a symbol edit actually persisted after save-shutdown	repo paths, project name	LIVE	
tools/ghidra_rebuild.sh	P2	ADAPT	rebuild an analysis program from committed text plus extracted bytes, proving equality	Rebuilds one analysis program from committed text plus extracted bytes, and proves equality	repo paths, project layout	LIVE	
tools/ghidra_roster.py	P2	ADAPT	generate and check a roster of committed analysis programs from the registry	Generates and checks a roster of committed analysis programs from the build registry	repo config paths	LIVE	
tools/ghidra_scripts/ApplySymbols.java	P10	PORTABLE	apply curated names and signatures inside the analysis tool and save	The in-tool half of that mirror: apply curated names and signatures, save on exit	none	LIVE	
tools/ghidra_scripts/BfmMcpServer.java	P2	ADAPT	serve the analysis tool over an automation protocol, saving on a sentinel stop	The headless MCP server itself; holds an open transaction and saves on a sentinel stop	repo sentinel path, server port	LIVE	
tools/ghidra_scripts/DecompileAt.java	P2	ADAPT	decompile one function at a given address straight from the analysis database	Headless script decompiling the function at one address and printing its C	default address	STILL-NEEDED	decompile one function at a given address straight from the analysis database
tools/ghidra_scripts/DecompileFunctions.java	P2	PORTABLE	batch-decompile an address list into one source file per function	Headless batch decompile of an address list into one C file per function	none	LIVE	
tools/ghidra_scripts/DefineFunctions.java	P2	ADAPT	create functions at externally validated entry points listed in a file	Disassembles and creates functions at externally validated entry points listed in a file	repo scratch path	LIVE	
tools/ghidra_scripts/DumpFunctionSignatures.java	P2	PORTABLE	dump per-function fingerprints in three hash tiers for cross-binary correspondence	Read-only per-function fingerprint dump in three hash tiers for cross-binary correspondence	none	LIVE	
tools/ghidra_scripts/DumpProgramInfo.java	P2	PORTABLE	print a program's language, compiler spec, image base and function count	Prints program metadata: language, compiler spec, image base, function count, properties	none	LIVE	
tools/ghidra_scripts/ExportAnnotations.java	P2	PORTABLE	serialize types, signatures, data, comments and labels to stable records	Read-only serialization of types, signatures, data, comments, bookmarks and labels to stable JSONL	none	LIVE	
tools/ghidra_scripts/ExportSymbols.java	P2	PORTABLE	export the analysis database's hand-authored symbols to a committable text file	Exports user-defined symbols to a committable text file so annotations are version-controlled	none	STILL-NEEDED	export the analysis database's hand-authored symbols to a committable text file
tools/ghidra_scripts/GetSymbolAt.java	P2	PORTABLE	print the symbol name at one address for scripted persistence checks	Prints the function or symbol name at one address for scripted persistence checks	none	LIVE	
tools/ghidra_scripts/ImportAnnotations.java	P2	PORTABLE	import annotations back into a program, comparing before writing	Idempotent compare-before-write import of the annotation JSONL back into a program	none	LIVE	
tools/ghidra_scripts/ImportPsyqGdt.java	P2	ADAPT	resolve a vendor SDK type archive into the program's type manager	Headlessly resolves a vendor SDK type archive into the program's type manager	PS1 SDK type archive name	LIVE	
tools/ghost_census.py	P7	PORTABLE	find pseudo-registers with references but no remaining occurrences, and their frame slots	Frame-residue oracle: finds pseudos with references but no remaining occurrences, and their slots	compiler pass-dump format	LIVE	
tools/gitignore_template_check.py	P9	ADAPT	assert a documented ignore-file template equals the shipped template byte for byte	Asserts the ignore-file template in the docs equals the kit's template byte for byte	repo doc and template paths	LIVE	
tools/glm_parallel.sh	P8	ADAPT	split a target list into slices and run concurrent drafting workers	Splits a target list into slices and runs concurrent drafting workers against one endpoint	provider endpoint, repo paths	SUPERSEDED	tools/ox_campaign.py
tools/glm_reconcile.py	P8	ADAPT	aim a reasoning model at the declaration wall and capture its reasoning	Aims a reasoning model at the declaration wall and captures its reasoning for reuse	provider endpoint, repo paths	ONE-OFF	the measured verdict that the declaration wall is a reconciliation problem, plus the captured reasoning distilled into the cookbook (Phase 23 T10.7 A/B)
tools/grinder.py	P7	ADAPT	grind the closest near-misses with the permuter and bank through the gate	Token-free permuter daemon grinding the closest near-misses and banking through the gate	repo scratch paths	LIVE	
tools/harvest_verify.py	P8	ADAPT	substitute, build, keep only if byte-identical, else revert	The whole-binary byte gate: substitute, build, keep only if identical, else revert	repo src/build layout	LIVE	
tools/idiom_harvest.py	P8	ADAPT	pull newly learned idioms out of a wave's logs into candidate notes	Pulls the newly learned idioms out of a wave's shard logs into candidate notes	repo log paths	LIVE	
tools/idiom_hunt.py	P8	ADAPT	discover new compiler idioms from grouped near-misses with a reasoning model	Uses a reasoning model on grouped near-misses to discover new compiler idioms	provider endpoint, repo paths	LIVE	
