# docs/commit-map.tsv — the public history's commit map (P33 C7). Generated by tools/public_rewrite/build_commit_map.py; never edit.
# Before the public flip the history was rewritten (ROM-derived paths purged, personal addresses mapped, old commit hashes
# in every historical doc replaced by the inert token commit:NNNN). NNNN is the ordinal of the commit on main in the ORIGINAL
# order (1 = the first commit); this table maps it to the rewritten commit. A row of 40 zeros is the one commit that touched
# only purged paths and was pruned. Documents at the tip cite the new hashes directly (tools/public_rewrite/resolve_tokens.py).
ordinal	new_hash	author_date	committer_date	subject
0018	ffe2352db2881b04d796ef867e2d3abdcd8783c4	2026-06-14T03:56:07-06:00	2026-06-14T03:56:07-06:00	feat(phase-4): matching-build toolchain (WSL) — make check-env green
0019	d55882b4b8d39284134b9ff286e05321af4ab3e0	2026-06-14T12:05:38-06:00	2026-06-14T12:05:38-06:00	feat(phase-5): splat config + all-asm byte-identical build of SLUS_007.26
0020	5f937bdda58f2c9536da546b7a1a3f90d6587482	2026-06-14T14:47:01-06:00	2026-06-14T14:47:01-06:00	feat(phase-6): compiler pinned + matching loop proven (14 matches) — LZSS to Phase 7
0021	379185a7999c369e3595c3dc6d128e435e5f295b	2026-06-14T17:36:12-06:00	2026-06-14T17:36:12-06:00	feat(phase-7): matching reports + 24 matches (38 real) — session A checkpoint
0022	8ffb7f0607bb9bbbebb3013b91125e9e2e93acfd	2026-06-14T19:37:05-06:00	2026-06-14T19:37:05-06:00	feat(phase-7): -O0 split + 4 matches (42 real) + libcd.h — session B checkpoint
0023	26b71c5b2d5575308fd72a56901b7271d2e83863	2026-06-14T21:24:10-06:00	2026-06-14T21:24:10-06:00	feat(phase-7): PsyQ library-linking proven byte-exact + rodata-island mechanism — session C checkpoint
0024	3788a89b3c4da1afa4cd958d8a584908053d1b06	2026-06-14T23:13:39-06:00	2026-06-14T23:13:39-06:00	feat(phase-7): libcd linked into byte-identical build (58 SDK funcs) — session D checkpoint
0025	038e7de5321c77e50aef2ec0bff5bae08992299a	2026-06-15T01:47:18-06:00	2026-06-15T01:47:18-06:00	feat(phase-7): LZSS cross-jump barrier breakthrough + libgs byte-verified — session E checkpoint
0026	c894dadb48c3e5c184ac03357ec0fb2364e99baf	2026-06-15T10:10:26-06:00	2026-06-15T10:10:26-06:00	feat(phase-7): LZSS matched byte-for-byte (43 real) — gcc-2.7.2 regalloc tail closed — session F checkpoint
0027	f91a67a6fe3b57c60099f069323dc88bb20030a0	2026-06-15T10:48:08-06:00	2026-06-15T10:48:08-06:00	feat(phase-7): libgs block 6 linked byte-identical (16 objs / 26 SDK funcs) — session F
0028	49db81d8ae4e3f7806840c2551900dcf9fa55c8b	2026-06-15T13:44:32-06:00	2026-06-15T13:44:32-06:00	feat(phase-7): Gen1 close-out — matching loop industrialized, PsyQ libs linked, LZSS matched (v1.7.0)
0029	6f248462dda08f05d55f81d525e20950afc82662	2026-06-15T17:15:31-06:00	2026-06-15T17:15:31-06:00	chore(gen2-prep): Gen2 roadmap + private-repo backup hardening + SETUP/submodule fixes
0030	c27a4432eb7a8d8d703d0f2e4fc058ab698fc255	2026-06-15T18:00:56-06:00	2026-06-15T18:00:56-06:00	feat(phase-8): library survey + progress.py LINKED category (T1-T2)
0031	675872616ddb203a091a6c2395bb3db9434701ce	2026-06-15T18:08:57-06:00	2026-06-15T18:08:57-06:00	feat(phase-8): link libetc byte-identical (T3) — 5 objs / 35 fns
0032	ade73cce627868efaf02949e3a751dd34a722285	2026-06-15T18:21:25-06:00	2026-06-15T18:21:25-06:00	feat(phase-8): link libgpu EXT+PRIM byte-identical (T4); exclude SYS.o (scattered .bss)
0033	0d6380c845bd83eded11d9ddcd9c02ec4c794347	2026-06-15T18:23:59-06:00	2026-06-15T18:23:59-06:00	feat(phase-8): link libmcrd byte-identical (T5) — 2 objs / +104 fns
0034	9dbae2681e47986f32a63f3e3f147c6a71b32e98	2026-06-15T18:32:48-06:00	2026-06-15T18:32:48-06:00	feat(phase-8): link libc2 byte-identical (T6) — 17 objs / +62 fns
0035	c4a627b22b85ab39c907711c977eb0edafaa3afe	2026-06-15T18:43:27-06:00	2026-06-15T18:43:27-06:00	feat(phase-8): link libgte byte-identical (T11, value-first) — 53/58 objs / +120 fns
0036	8bbf2e8e4d5d2c49620613367b020caf5897c3ac	2026-06-15T18:54:21-06:00	2026-06-15T18:54:21-06:00	feat(phase-8): link libspu+libsnd combined sound region (T9+T10) — 60 objs / +225 fns
0037	11a9bdc03291756149414ca899bd6ca67d1762db	2026-06-15T18:59:14-06:00	2026-06-15T18:59:14-06:00	feat(phase-8): link libapi+libcard combined 800c2 region (T7+T8) — 22 objs / +24 fns
0038	44586c885e032902e3389ed35f279b601e5e22fe	2026-06-15T19:07:59-06:00	2026-06-15T19:07:59-06:00	feat(phase-8): game-code harvest (T13) — 9 trivial accessors, REAL 43 -> 52
0039	20a0d7a4d2d2adf756864f668bc7a6b4e9483bb3	2026-06-15T19:09:49-06:00	2026-06-15T19:09:49-06:00	docs(phase-8): cookbook §9.6 + SETUP tool inventory (R16/R21 flywheel)
0040	2025da70580efa45741b03c6b7737b7b23977e7e	2026-06-15T19:12:45-06:00	2026-06-15T19:12:45-06:00	chore(phase-8): finalize CURRENT_PHASE — milestone achieved, awaiting Drew's gate-2 confirm
0041	1f5cc439812e47f119e80deb44186ef33ab6779f	2026-06-15T19:22:36-06:00	2026-06-15T19:22:36-06:00	feat(phase-8): close-out — PhaseEnd_Phase8 + worklog archived (v1.8.0)
0042	170586d6bfe34c577c5001f9bf215b5450962657	2026-06-15T20:20:42-06:00	2026-06-15T20:20:42-06:00	refactor(phase-9): T1 — data-driven BINARIES Makefile (no-op on EXE)
0043	d9517a013ba77439943c1ccda76a2b6d3974280e	2026-06-15T20:30:19-06:00	2026-06-15T20:30:19-06:00	refactor(phase-9): T2 — thread vram_base/exe through psyq_link.py
0044	4737d3ea4e9f6196dfc2cfad286524ad0ab189d0	2026-06-15T20:32:53-06:00	2026-06-15T20:32:53-06:00	refactor(phase-9): T3 — argparse --vram-base/--exe for psyq_identify.py
0045	0a59e96ce4527445350dfc80cc12822062030842	2026-06-15T20:36:32-06:00	2026-06-15T20:36:32-06:00	refactor(phase-9): T4 — thread vram_base/exe through psyq_link_region + psyq_link_lib
0046	06676e6ab1fb0e6c0abb64e525f9800714548ba7	2026-06-15T20:42:32-06:00	2026-06-15T20:42:32-06:00	refactor(phase-9): T5 — psyq_integrate flags + progress regex + 9 Makefile call sites
0047	22b20e8f31907d0ec6a31cae80e377f1f612bc00	2026-06-15T20:46:48-06:00	2026-06-15T20:46:48-06:00	refactor(phase-9): T6 — --binary selector for dup_report + difficulty; report threads BINARY
0048	5e0d80a8873cbea2be4ba7e176e9ccf51bb2f2a1	2026-06-15T20:49:45-06:00	2026-06-15T20:49:45-06:00	refactor(phase-9): T7 — ld_interleave.py --front/--tail; gate extract call to BINARY=main
0049	cb7a280994c096814b023ca33e1f60750ee922fa	2026-06-15T20:55:28-06:00	2026-06-15T20:55:28-06:00	refactor(phase-9): T8a — de-default the EXE-curation helpers (thread --exe/--vram-base)
0050	1b9397c4625e51359ca4a33670dbaaa68d1c574d	2026-06-15T21:00:36-06:00	2026-06-15T21:00:36-06:00	refactor(phase-9): T8b — remove transitional defaults across link pipeline (no-EXE-default end state)
0051	3b2093dfde79aca06fe82a404813bcbdf2620193	2026-06-15T21:02:43-06:00	2026-06-15T21:02:43-06:00	refactor(phase-9): T9 — BFM_BINARY env-var selector for diff_settings.py
0052	6345b5012aa8d302c1fd7f9da850f30392dd5302	2026-06-15T21:09:06-06:00	2026-06-15T21:09:06-06:00	docs(phase-9): T10 — binary-agnostic toolchain docs + final milestone proof (R16/R21)
0053	d380b13fc53037ab010dc5fbd9b867d397f4568f	2026-06-15T22:01:17-06:00	2026-06-15T22:01:17-06:00	feat(phase-9): close-out — PhaseEnd_Phase9 + binary-agnostic toolchain (v1.9.0)
0054	95ade8476897a3c4c312165c3249779a38537b59	2026-06-15T22:50:55-06:00	2026-06-15T22:50:55-06:00	feat(phase-10): T1 — scaffold the `resident` second binary (Makefile no-op on main)
0055	f06785bcf28b0f490ca1c8a733ab6010c79c7332	2026-06-15T23:00:51-06:00	2026-06-15T23:00:51-06:00	feat(phase-10): T2 — resident blob byte-identical (8e17e02f), the milestone
0056	cc739511280a51fa1f380c190aa7ad7f741bc5c1	2026-06-15T23:06:25-06:00	2026-06-15T23:06:25-06:00	feat(phase-10): T3 — per-binary reports/diff/expected for the resident binary
0057	03978ec4ba5c1d3ec0611b1acf320bae5b0ac568	2026-06-15T23:25:00-06:00	2026-06-15T23:25:00-06:00	feat(phase-10): T4 — resident Ghidra program (2nd binary) + symbol seed + sig
0058	702b94fd7d0cf76b187161f323a4ccc8df8ce82e	2026-06-15T23:35:11-06:00	2026-06-15T23:35:11-06:00	docs(phase-10): close-out — PhaseEnd_Phase10 + flat-blob recipe (v1.10.0)
0059	6df7e79c5dcff2586dad22cccf45c4c7c6921983	2026-06-15T23:39:56-06:00	2026-06-15T23:39:56-06:00	docs(phase-10): store the plain-English recap in the PhaseEnd + rule R25
0060	7cc2911456db343e482548dfe841595e36a0b7eb	2026-06-16T00:37:18-06:00	2026-06-16T00:37:18-06:00	feat(phase-11): T1 — cross-binary dup_report --cross → duplicates.cross.md
0061	b06d74c1be6a8b607ba0be864404cf5bfc24e902	2026-06-16T00:47:20-06:00	2026-06-16T00:47:20-06:00	feat(phase-11): T2 — dedup.us.yaml registry + dedup_integrate byte-honesty validator
0062	a8ae190fa3459be4b5eea9d9dc83d8bf99fbd1a4	2026-06-16T00:56:35-06:00	2026-06-16T00:56:35-06:00	feat(phase-11): T3 — intra-binary collapse PROOF (one body, two addresses, byte-identical)
0063	685e35fdc6550f4a03f1706c8df648ee133bc649	2026-06-16T01:07:28-06:00	2026-06-16T01:07:28-06:00	feat(phase-11): T4 — sig_image.py, Ghidra-free h_exact signer + boundary detection
0064	81e33c7a1e5fad61ef5f6fa1b9a1ccf6590788a3	2026-06-16T01:15:07-06:00	2026-06-16T01:15:07-06:00	feat(phase-11): T5 — sig_image self-consistent h_norm + h_seq (scope-guard D2)
0065	f672c709c1918ddbfb88a50e0d4340c632ef40bd	2026-06-16T01:26:49-06:00	2026-06-16T01:26:49-06:00	feat(phase-11): T6 — sign the 134 overlays; cross-report spans 136 binaries (milestone report half)
0066	190afe10f05015a4899ec0c9936435a27df2deef	2026-06-16T01:31:50-06:00	2026-06-16T01:31:50-06:00	docs(phase-11): T7 close-out — 4.7 sha-record, cookbook §11, SETUP §6.8, README/worklist
0067	0cd9656f25d63200ef8f3d11e4770c41d5ae56ec	2026-06-16T09:45:49-06:00	2026-06-16T09:45:49-06:00	docs(phase-11): close-out — PhaseEnd_Phase11 + worklog archive (v1.11.0)
0068	ce790965478e889907482e49490119eeb5bc9a11	2026-06-16T11:05:22-06:00	2026-06-16T11:05:22-06:00	feat(phase-12): T1 — resident PsyQ footprint survey = NIL (resident is custom engine code)
0069	b8457a8636e1fbe30276a56dce58c0ae28708c8b	2026-06-16T11:14:25-06:00	2026-06-16T11:14:25-06:00	feat(phase-12): T2 — resident compiler triple CONFIRMED = the EXE's (2 byte-exact matches)
0070	6d1b0c051ee3c2931f84086499c484abff15b94a	2026-06-16T11:17:54-06:00	2026-06-16T11:17:54-06:00	feat(phase-12): T3 batch 1 — 6 trivial resident accessors matched (REAL 2->8)
0071	c37332fa1999feca6e7753335436c14b04de391a	2026-06-16T11:59:02-06:00	2026-06-16T11:59:02-06:00	feat(phase-12): T3 batch 2 — 62 resident functions matched via parallel-draft + byte-gate (REAL 8->70)
0072	69227e4f6abb9338ca5d0f2d937bde50ba8af400	2026-06-16T12:15:27-06:00	2026-06-16T12:15:27-06:00	feat(phase-12): T3 batch 3 — +8 resident fns via redraft pass + byte-gate (REAL 70->78)
0073	8dbaa489f74f48e7239e6a4a3444ce76b9f713ac	2026-06-16T12:35:21-06:00	2026-06-16T12:35:21-06:00	feat(phase-12): T3 batch 3b — +9 via retry-resilient redraft pass (REAL 78->87, 61.4%)
0074	4c7cf48ebf9c653704e6c71b1306983765f75884	2026-06-16T12:43:59-06:00	2026-06-16T12:43:59-06:00	feat(phase-12): T3 — +2 (typedef-strip recovery) + per-function match tool (REAL 87->89)
0075	393d34604bad4671a9e621a979d56ea5742a8673	2026-06-16T13:15:50-06:00	2026-06-16T13:15:50-06:00	feat(phase-12): T3 pass 4 — match_one iteration loop, +13 (REAL 89->102, 71.7%)
0076	f5209b6ef37969ccdbabdd45465f28198fe64321	2026-06-16T13:20:21-06:00	2026-06-16T13:20:21-06:00	docs(phase-12): T3 harvest checkpoint — REAL 102/145 (71.7%); recovery path recorded
0077	e3d86e60778af2d44f1cee20be2ed3a23e076c99	2026-06-16T13:28:46-06:00	2026-06-16T13:28:46-06:00	docs(phase-12): cookbook §12 (ultracode harvest pattern) + effort-map ultracode-prompting (R16/R21)
0078	a480d83bee641ed9b7e777d4ad66b382378baabe	2026-06-16T14:05:20-06:00	2026-06-16T14:05:20-06:00	feat(phase-12): T3a — extern-conflict recovery, +20 (REAL 102->123, 85.6%)
0079	0821ba22da43125bed0a1a3f457648d52ef83306	2026-06-16T14:12:46-06:00	2026-06-16T14:12:46-06:00	docs(phase-12): T3 substantively complete — REAL 123/146 (85.6%); T3b reassessed/deferred
0080	9a70f7179c6b4dd908e09fd22b67189b0fe6ea56	2026-06-16T14:14:57-06:00	2026-06-16T14:14:57-06:00	docs(phase-12): T4 — script/event system + SQV driver determinations (byte-backed)
0081	d443cdf433248fc73dd148f1eada103bd695c9df	2026-06-16T14:18:47-06:00	2026-06-16T14:18:47-06:00	docs(phase-12): T5 (static start) — save/memcard format: saveHeaderTemplate + handler table (Q#5)
0082	373418dc8d96942f99584c41e4475e51f5d6645b	2026-06-16T14:33:54-06:00	2026-06-16T14:33:54-06:00	docs(phase-12): T5 — save trace findings (memcard path + directory confirmed; deep data deferred)
0083	b7b34f007e1d1c305add780942e64b06eadb4a7d	2026-06-16T14:42:52-06:00	2026-06-16T14:42:52-06:00	docs(phase-12): PhaseEnd — key engine systems complete; resident 1.4%->85.6% (v1.12.0)
0084	50c5c9ea333216748c502a93bd7c8e263fd3b836	2026-06-16T15:19:49-06:00	2026-06-16T15:19:49-06:00	feat(phase-13): T0 — overlay splat template + overlays.mk indirection
0085	144839f24b6e64f0e56b33fc0fbd1e4fed7f5357	2026-06-16T15:39:52-06:00	2026-06-16T15:39:52-06:00	feat(phase-13): T1a/T1b — SC01/077 onboarded + all-asm byte-match (d19c9580)
0086	3b59354c7f3c6e6aa4c47e308416920d35b3aa7d	2026-06-16T15:42:43-06:00	2026-06-16T15:42:43-06:00	feat(phase-13): T1c — commit ov_SC01_077 C record (2505 INCLUDE_ASM stubs)
0087	3262cbca3996b30e286e531c178fc093190f0b38	2026-06-16T15:51:44-06:00	2026-06-16T15:51:44-06:00	docs(phase-13): T1c done — C record + Ghidra import (2661 fns, 0 failed); harvest next
0088	0278a902d390e130df665887b27a8d953884a46b	2026-06-16T16:04:08-06:00	2026-06-16T16:04:08-06:00	feat(phase-13): T1e harvest pass 1 — 110 ov_SC01_077 fns matched (Ultracode §12)
0089	fdc9e22a8c5931f663e17d971a5129673b3c24dd	2026-06-16T16:09:54-06:00	2026-06-16T16:09:54-06:00	feat(phase-13): T1e harvest pass 2 — +205 ov_SC01_077 fns (REAL ~315; Ultracode §12)
0090	b6a82b8c43c731b0226044c39ce94b4444c1fe06	2026-06-16T16:16:52-06:00	2026-06-16T16:16:52-06:00	feat(phase-13): T1e harvest pass 3 — +217 ov_SC01_077 fns (REAL ~532; Ultracode §12)
0091	5ccdd2b2251402943fcd0826d9af4562d9b86731	2026-06-16T16:29:41-06:00	2026-06-16T16:29:41-06:00	feat(phase-13): T1e harvest pass 4 (rate-limited) — +52 ov_SC01_077 (REAL 584)
0092	ce07b72794238fe723d0a68cebee2d726ebc523a	2026-06-16T16:38:22-06:00	2026-06-16T16:38:22-06:00	feat(phase-13): T1e harvest pass 5 — +106 ov_SC01_077 (REAL 690/2586 = 26.7%)
0093	67592993eabbc587e2f9c368506554f98d1e2e8b	2026-06-16T16:44:01-06:00	2026-06-16T16:44:01-06:00	feat(phase-13): T3+T4 — new_overlay.sh + dup-pair & free-roam onboarded byte-identical
0094	eee4cb3196847b531fe243bf274a68a3beba343b	2026-06-16T17:05:23-06:00	2026-06-16T17:05:23-06:00	feat(phase-13): T2 — dup-pair collapse SC01/005 ≡ 006 (one source, both green)
0095	e2200e17db1f554818f2ffbfa74db5c8194595a1	2026-06-16T17:07:57-06:00	2026-06-16T17:07:57-06:00	feat(phase-13): T5 — make build-all / check-all (fleet PASS/FAIL)
0096	eaff101c3f98ab7a542f5b37f9f2530a12389337	2026-06-16T17:09:23-06:00	2026-06-16T17:09:23-06:00	docs(phase-13): T0-T5 complete — milestone met; T7 experiment + T6 PhaseEnd remain
0097	b2773874d0a5ad864aa11cceccba7869a28c4dad	2026-06-16T17:23:07-06:00	2026-06-16T17:23:07-06:00	docs(effort-map): per-task effort mapping + pause-at-every-transition discipline (Drew)
0098	7622ea7609395c66c89d0488cc2a5c45bff7c26d	2026-06-16T17:50:31-06:00	2026-06-16T17:50:31-06:00	feat(phase-13): T7 — effort experiment (Max vs Ultracode yield = noise) + bank 14
0099	52514b5f451bca4e4490ef16a675e391a4a7c3fb	2026-06-16T17:56:38-06:00	2026-06-16T17:56:38-06:00	docs(phase-13): T6 docs — cookbook §13 overlay runbook + SETUP/gen2-roadmap + digests
0100	a0865e78cac54d7397502f69198532c8e2c8aa72	2026-06-16T18:00:25-06:00	2026-06-16T18:00:25-06:00	docs(phase-13): PhaseEnd — representative overlays complete; 6 binaries byte-identical (v1.13.0)
0101	324ad1c3a6ca2147fc888e0480a2b4d8bca9992f	2026-06-16T18:57:06-06:00	2026-06-16T18:57:06-06:00	docs(phase-15): T0 — defer Phase 14 to Gen3+; Phase 15 is the active phase
0102	e5a2bd40830748d63d91a8b7b69460c2ddcef063	2026-06-16T19:02:14-06:00	2026-06-16T19:02:14-06:00	feat(phase-15): T1 — onboard diverse wave-1 (12 overlays); fleet 18/18 byte-identical
0103	0c7619231d5738b39cb3ea02aee9832fab320477	2026-06-16T19:24:08-06:00	2026-06-16T19:24:08-06:00	feat(phase-15): T2 — dedup_propagate.py (match-once -> propagate-many) proven on wave
0104	87136a024e1bba9c1b6dc764bb3831a492ac3195	2026-06-16T19:41:37-06:00	2026-06-16T19:41:37-06:00	feat(phase-15): T3 — onboard the remaining 118 overlays; full fleet 136/136 byte-identical
0105	c716eb15e12f21ce8d8d5141178e71b77ce2849a	2026-06-16T20:00:19-06:00	2026-06-16T20:00:19-06:00	feat(phase-15): T4 — fleet progress roll-up + fix cross-report double-count
0106	aefe2eac185512a6f83e34adfbb9c553c8b93874	2026-06-16T20:35:39-06:00	2026-06-16T20:35:39-06:00	feat(phase-15): T5a — bulk-propagate 553 shared functions fleet-wide (3.82% -> 22.14%)
0107	2ac97878b2931f19b5371e816bf3f611b2759d7c	2026-06-16T21:16:46-06:00	2026-06-16T21:16:46-06:00	feat(phase-15): T5b — Ultracode harvest pass 1 (+49 shared fns); fleet 24.05%
0108	9d5c0870546ac4c5d5c5944610c2919c2191806c	2026-06-16T22:18:06-06:00	2026-06-16T22:18:06-06:00	feat(phase-15): T5b pass-2 leaf-first harvest (+34 shared fns); fleet 25.38%
0109	ef1cf9f05efbdc0e2f3cc6d2bfbd4276c9340454	2026-06-17T00:12:23-06:00	2026-06-17T00:12:23-06:00	feat(phase-15): T6 pass-1 — callee-sig-aware harvest of the call-heavy shared core; fleet 25.38% -> 30.48%
0110	1d94f9ec96ef6686105ec29c66b37785f108bc05	2026-06-17T00:30:45-06:00	2026-06-17T00:30:45-06:00	feat(phase-15): T6d — deterministic decl-canonicalization recovers 19 more shared fns; fleet -> 31.22%
0111	bdfb86dc4fd876ea59b110b85b9c7de0853bcd75	2026-06-17T11:59:33-06:00	2026-06-17T11:59:33-06:00	feat(phase-15): T6 v2 — data-sig-aware harvest + struct-guarded propagate; fleet 31.22% -> 42.14%
0112	db4fddc44ec9c8961c4626da5c4e0ef059a8f568	2026-06-17T13:21:36-06:00	2026-06-17T13:21:36-06:00	feat(phase-15): T6g medium band — harvest+propagate 65 shared fns; fleet 42.14% -> 44.64%
0113	57a0a88f3737a437b32a1034724c892d5012336d	2026-06-17T15:06:29-06:00	2026-06-17T15:06:29-06:00	feat(phase-15): T6 tail — quarantine decl-recovery propagates 42 more; fleet 44.64% -> 46.27%
0114	5c5e9fb97366fa345683edacb0cd8b908956e201	2026-06-17T15:25:44-06:00	2026-06-17T15:25:44-06:00	feat(phase-15): T6 struct follow-up — shared engine_types.h unblocks 37 struct-using fns; fleet 46.27% -> 47.70%
0115	2366d56f47c8e494a3e4b5095fbfbf15a08e7293	2026-06-17T15:40:52-06:00	2026-06-17T15:40:52-06:00	docs(phase-15): log v3 harvest rate-limit consolidation at 47.70%
0116	85b3599e5b92c3893f5eebccfa132fabe6eb7d65	2026-06-17T18:38:03-06:00	2026-06-17T18:38:03-06:00	feat(phase-15): T6 groups-of-10 missing harvest — fleet 48.02% -> 51.41% (over half)
0117	be0ceae55db5716b613940fc511893ba3e5d3a16	2026-06-18T17:21:54-06:00	2026-06-18T17:21:54-06:00	feat(phase-15): T6 wave-1 (50-agent) harvest — 27 shared fns matched, 9 propagated fleet-wide; fleet 51.41% -> 51.77%
0118	4b0f4d100359652ddb53edf364b3c052d818c363	2026-06-18T18:03:44-06:00	2026-06-18T18:03:44-06:00	feat(phase-15): #3 types-header propagation — +8 struct-using shared fns; fleet 51.77% -> 52.08%
0119	a10f7f8a1a856d493db48d21978d34a561005df2	2026-06-18T20:00:50-06:00	2026-06-18T20:00:50-06:00	feat(phase-15): sig-unify recovery + find_site brace-fix — fleet 52.08% -> 54.44%
0120	ab8b857cd352052348e13709bf0f0a6e61311d84	2026-06-18T20:23:21-06:00	2026-06-18T20:23:21-06:00	feat(phase-15): engine_types follow-up — +1 struct-using shared fn; fleet 54.44% -> 54.48%
0121	964cec8b61c7c2d0f8a4d77de6e291f201642cf8	2026-06-18T21:01:38-06:00	2026-06-18T21:01:38-06:00	docs(phase-15): close — PhaseEnd v1.14.0 (fleet 54.48%), continuation backlog -> Phase 16
0122	7141e9752b804ce52754f583fa411fa7438cf760	2026-06-18T22:32:03-06:00	2026-06-18T22:32:03-06:00	feat(phase-16): S0 close + S2 foundation — m2c-compat in common.h (byte-verified)
0123	381b0652a1191d23bad2a6cb1fcfcbee89dc9c28	2026-06-18T22:53:19-06:00	2026-06-18T22:53:19-06:00	feat(phase-16): pipeline proven — known-answer ladder 67% m2c-direct re-derivation
0124	c8c9fd20c126ebb45e32b2bec71e5ad939fc1f51	2026-06-18T23:15:31-06:00	2026-06-18T23:15:31-06:00	feat(phase-16): S5 driver+supervisor+safe-exit + NULL fix + sig_unify pipeline
0125	5dd42ad703501e4db2a98ae699396b6fd67c9e97	2026-06-18T23:40:17-06:00	2026-06-18T23:40:17-06:00	feat(phase-16): permuter batch tester + known-answer improvement-loop workhorse
0126	ed6314f0907fd11c19b58d6a5d7ff117b100df05	2026-06-18T23:41:40-06:00	2026-06-18T23:41:40-06:00	feat(phase-16): wire the permuter into auto_driver (the near-miss yield lever)
0127	9062f0fcc06f0d1c3085698fb4dbfb0d1efabbf6	2026-06-19T10:05:58-06:00	2026-06-19T10:05:58-06:00	docs(phase-16): PIVOT — m2c+permuter won't crack the loose-typed core; new plan + harness fixes
0128	f3f15649f1f897dfcddba82eb0c88f13353f246b	2026-06-19T10:12:22-06:00	2026-06-19T10:12:22-06:00	docs(phase-16): PhaseEnd — pivot from m2c+permuter to type-recovery (v1.15.0)
0129	edb0360d3056a69c674dbd890e58e6a28d7cc473	2026-06-19T11:31:41-06:00	2026-06-19T11:31:41-06:00	feat(phase-17): T1 wall taxonomy — census the 957 residuals, size every avenue (skip T2)
