# .run/P37/census/parked.tsv — the Phase-36 parked classes, in one file with their reasons (type_census.write_parked; generated).
# A RESIDUE class of the P36 ledger whose exemplar is in .run/P36/s105/pick.py's PARK set; `needs` is read from the pack's mechanism.md headline
# (signature | carve | gte | struct | irreducible | ?); `patches` lists the ready patch files. The second block lists PARK names whose latest
# ledger verdict is LEVER-FREE (a minimum-lever bank — its surviving marked sites are counted by lever_census, not here).
fn	alias	tu	copies	sites	needed_per_copy	kinds	regs	needs	pack	patches	headline
func_80157D20	ov_SC01_077	src/ov_SC01_077/ov_SC01_077_jr_80154C24.c	1	2	2	pin	$4 $5	signature	.run/P36/agents/ov_SC04_011__func_80157D20		**Final score: 0 (BYTE-IDENTICAL, 21/21 words + relocs) — but NOT body-only.**
func_80035210	main	src/800_b_2.c	1	1	1	pin	$3	signature	.run/P36/agents/main__func_80035210		Score 4, REG-caller, 24 vs 24: the post-`SpuWrite` read-modify-write of `D_80076218` (`lw; addu ..,s1; sw`) lives in `$v0`
func_80037144	main	src/800_c.c	1	1	1	barrier		struct	.run/P36/agents/main__func_80037144		**Result.** No levers: `body.c` is byte-identical ONCE LINKED; `--try` scores it **2**, and both points are relocation
func_800384A8	main	src/800_c.c	1	1	1	pin	$4	signature	.run/P36/agents/main__func_800384A8		Two instructions: the target indexes `D_800B9CD8` with the raw `$a0` (`sll v0,a0,7; subu v0,v0,a0`), the lever-free body
func_801805EC	ov_SC02_027	src/ov_SC02_027/ov_SC02_027_jr_8017D898.c	1	1	1	barrier		struct	.run/P36/agents/ov_SC02_027__func_801805EC		(a) Residual: score 7 (COUNT, 67 vs 68) — after the u16 store `obj->0x14 += a0->0x2A - cam->0x12` the target RELOADS
func_80185D44	ov_SC06_029	src/ov_SC06_029/ov_SC06_029_jr_8017C954.c	1	1	1	launder		struct	.run/P36/agents/ov_SC06_029__func_80185D44		**Result: score 0 with ONE marked lever (the tree's launder, re-marked in the step-9 format). Levers 1 -> 1.
func_80188A30	ov_SC04_011	src/ov_SC04_011/ov_SC04_011_jr_8017D494.c	1	1	1	barrier		signature	.run/P36/agents/ov_SC04_011__func_80188A30		**Result: score 0 in plain C with a SIGNATURE change — PARKED.** The return type is `s32` instead of `void`, the body is the
func_801A1E94	md_SC07_004	src/md_SC07_004/md_SC07_004.c	1	1	1	pin	$4	signature	.run/P36/agents/md_SC07_004__func_801A1E94	.run/P36/agents/md_SC07_004__func_801A1E94/signature.diff	(a) Residual: body_free.c is 41 ins vs 42 — the target's `move s0,a0` in the prologue is missing and `$s0/$s1` are swapped.
func_801A5094	md_SC07_004	src/md_SC07_004/md_SC07_004.c	1	1	1	barrier		struct	.run/P36/agents/md_SC07_004__func_801A5094		(a) Residual: same 64 instructions; the word load `lui v1; lw v1,D_801F8744` is scheduled ABOVE `li v0,1; sb v0,D_801F8747`
func_801A5C44	md_SC07_004	src/md_SC07_004/md_SC07_004.c	1	1	1	pin	$4	signature	.run/P36/agents/md_SC07_004__func_801A5C44	.run/P36/agents/md_SC07_004__func_801A5C44/signature.diff	(a) Residual: body_free.c is 40 ins vs 41 — the target's `sw s0,16(sp); move s0,a0` parameter copy is missing and the
# minimum-lever banks in PARK (LEVER-FREE in the ledger): func_80015D4C func_80029D3C func_8002FF0C func_800301C8 func_800385C0 func_8012E364 func_80136824 func_8013D9B0 func_8013F350 func_80140958 func_80177B5C func_8017DFB8 func_8017EF50 func_8017F0EC func_80180200 func_80180A54 func_80180FA4 func_80181F4C func_80182614 func_80186CE0 func_8018C14C func_801ADF5C
